Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Late
Susan Williams,5,Present
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Present
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Late
Daniel Williams,16,Late
Joseph Brown,17,Absent
Linda Johnson,18,Present
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Excused
Edward Brown,22,Excused
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Late
Andrew Williams,26,Excused
Brian Brown,27,Excused
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Absent
