Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Present
Michael Jones,3,Absent
William Brown,4,Late
Susan Williams,5,Excused
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Excused
Charles Taylor,9,Excused
Sarah Jones,10,Late
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Late
Barbara Taylor,20,Late
Steven Williams,21,Excused
Edward Brown,22,Absent
Christopher Johnson,23,Late
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Present
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Absent
