Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Present
Michael Jones,3,Present
William Brown,4,Present
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Absent
Patricia Johnson,13,Excused
William Smith,14,Excused
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Excused
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Excused
Edward Brown,22,Late
Christopher Johnson,23,Excused
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Present
