Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Excused
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Absent
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Present
Sarah Jones,10,Present
James Williams,11,Late
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Late
Elizabeth Taylor,15,Present
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Present
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Late
Edward Brown,22,Present
Christopher Johnson,23,Late
Matthew Smith,24,Excused
Jennifer Taylor,25,Excused
Andrew Williams,26,Excused
Brian Brown,27,Absent
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Absent
