Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Excused
Michael Jones,3,Excused
William Brown,4,Present
Susan Williams,5,Late
David Miller,6,Excused
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Late
Michael Brown,12,Present
Patricia Johnson,13,Absent
William Smith,14,Present
Elizabeth Taylor,15,Late
Daniel Williams,16,Present
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Late
Christopher Johnson,23,Present
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Absent
Kevin Johnson,28,Present
David Smith,29,Present
Melissa Taylor,30,Excused
