Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Excused
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Absent
Mary Johnson,7,Absent
Robert Smith,8,Present
Charles Taylor,9,Late
Sarah Jones,10,Late
James Williams,11,Excused
Michael Brown,12,Excused
Patricia Johnson,13,Absent
William Smith,14,Late
Elizabeth Taylor,15,Late
Daniel Williams,16,Present
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Absent
Barbara Taylor,20,Excused
Steven Williams,21,Excused
Edward Brown,22,Late
Christopher Johnson,23,Absent
Matthew Smith,24,Excused
Jennifer Taylor,25,Present
Andrew Williams,26,Absent
Brian Brown,27,Late
Kevin Johnson,28,Excused
David Smith,29,Absent
Melissa Taylor,30,Excused
