Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Absent
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Present
David Miller,6,Present
Mary Johnson,7,Absent
Robert Smith,8,Excused
Charles Taylor,9,Absent
Sarah Jones,10,Present
James Williams,11,Late
Michael Brown,12,Present
Patricia Johnson,13,Present
William Smith,14,Absent
Elizabeth Taylor,15,Excused
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Excused
Steven Williams,21,Late
Edward Brown,22,Excused
Christopher Johnson,23,Late
Matthew Smith,24,Absent
Jennifer Taylor,25,Present
Andrew Williams,26,Excused
Brian Brown,27,Late
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Absent
