Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Present
Susan Williams,5,Excused
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Absent
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Late
Elizabeth Taylor,15,Excused
Daniel Williams,16,Present
Joseph Brown,17,Absent
Linda Johnson,18,Excused
Anthony Smith,19,Absent
Barbara Taylor,20,Absent
Steven Williams,21,Excused
Edward Brown,22,Absent
Christopher Johnson,23,Absent
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Excused
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Present
