Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Excused
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Late
David Miller,6,Absent
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Absent
Sarah Jones,10,Absent
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Late
Elizabeth Taylor,15,Absent
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Present
Anthony Smith,19,Absent
Barbara Taylor,20,Excused
Steven Williams,21,Present
Edward Brown,22,Late
Christopher Johnson,23,Present
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Late
Melissa Taylor,30,Excused
