Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Present
Susan Williams,5,Absent
David Miller,6,Excused
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Late
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Excused
Daniel Williams,16,Late
Joseph Brown,17,Present
Linda Johnson,18,Present
Anthony Smith,19,Excused
Barbara Taylor,20,Present
Steven Williams,21,Excused
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Present
