Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Absent
Michael Jones,3,Absent
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Late
Robert Smith,8,Present
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Excused
Patricia Johnson,13,Excused
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Present
Joseph Brown,17,Absent
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Late
Steven Williams,21,Excused
Edward Brown,22,Absent
Christopher Johnson,23,Absent
Matthew Smith,24,Excused
Jennifer Taylor,25,Present
Andrew Williams,26,Absent
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Excused
Melissa Taylor,30,Late
