Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Absent
Sarah Jones,10,Present
James Williams,11,Absent
Michael Brown,12,Absent
Patricia Johnson,13,Present
William Smith,14,Excused
Elizabeth Taylor,15,Late
Daniel Williams,16,Excused
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Excused
Steven Williams,21,Present
Edward Brown,22,Present
Christopher Johnson,23,Late
Matthew Smith,24,Excused
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Absent
David Smith,29,Present
Melissa Taylor,30,Late
