Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Excused
Susan Williams,5,Late
David Miller,6,Late
Mary Johnson,7,Late
Robert Smith,8,Present
Charles Taylor,9,Late
Sarah Jones,10,Absent
James Williams,11,Absent
Michael Brown,12,Excused
Patricia Johnson,13,Excused
William Smith,14,Excused
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Late
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Present
Andrew Williams,26,Late
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Late
Melissa Taylor,30,Late
