Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Absent
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Late
David Miller,6,Late
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Excused
Sarah Jones,10,Present
James Williams,11,Excused
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Excused
Daniel Williams,16,Late
Joseph Brown,17,Excused
Linda Johnson,18,Late
Anthony Smith,19,Late
Barbara Taylor,20,Late
Steven Williams,21,Late
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Late
