Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Present
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Present
Mary Johnson,7,Late
Robert Smith,8,Present
Charles Taylor,9,Late
Sarah Jones,10,Late
James Williams,11,Absent
Michael Brown,12,Excused
Patricia Johnson,13,Late
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Absent
Steven Williams,21,Absent
Edward Brown,22,Excused
Christopher Johnson,23,Excused
Matthew Smith,24,Excused
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Excused
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Absent
