Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Excused
Michael Jones,3,Absent
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Absent
James Williams,11,Absent
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Present
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Excused
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Excused
David Smith,29,Late
Melissa Taylor,30,Absent
