Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Late
Michael Jones,3,Absent
William Brown,4,Absent
Susan Williams,5,Absent
David Miller,6,Absent
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Absent
Patricia Johnson,13,Excused
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Excused
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Present
Edward Brown,22,Present
Christopher Johnson,23,Excused
Matthew Smith,24,Excused
Jennifer Taylor,25,Late
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Excused
