Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Absent
Michael Jones,3,Excused
William Brown,4,Absent
Susan Williams,5,Absent
David Miller,6,Absent
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Present
Sarah Jones,10,Absent
James Williams,11,Absent
Michael Brown,12,Present
Patricia Johnson,13,Present
William Smith,14,Excused
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Absent
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Present
Edward Brown,22,Late
Christopher Johnson,23,Excused
Matthew Smith,24,Excused
Jennifer Taylor,25,Absent
Andrew Williams,26,Excused
Brian Brown,27,Absent
Kevin Johnson,28,Absent
David Smith,29,Excused
Melissa Taylor,30,Present
