Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Present
Michael Jones,3,Late
William Brown,4,Absent
Susan Williams,5,Late
David Miller,6,Absent
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Absent
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Excused
William Smith,14,Absent
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Excused
Barbara Taylor,20,Absent
Steven Williams,21,Excused
Edward Brown,22,Present
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Present
Andrew Williams,26,Excused
Brian Brown,27,Late
Kevin Johnson,28,Present
David Smith,29,Present
Melissa Taylor,30,Present
