Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Present
Susan Williams,5,Excused
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Excused
Sarah Jones,10,Present
James Williams,11,Late
Michael Brown,12,Excused
Patricia Johnson,13,Excused
William Smith,14,Excused
Elizabeth Taylor,15,Absent
Daniel Williams,16,Present
Joseph Brown,17,Absent
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Late
Steven Williams,21,Excused
Edward Brown,22,Excused
Christopher Johnson,23,Excused
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Excused
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Absent
