Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Present
William Brown,4,Present
Susan Williams,5,Present
David Miller,6,Late
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Absent
James Williams,11,Absent
Michael Brown,12,Present
Patricia Johnson,13,Late
William Smith,14,Absent
Elizabeth Taylor,15,Excused
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Excused
Anthony Smith,19,Absent
Barbara Taylor,20,Late
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Present
Matthew Smith,24,Present
Jennifer Taylor,25,Present
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Excused
David Smith,29,Present
Melissa Taylor,30,Late
