Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Excused
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Absent
David Miller,6,Absent
Mary Johnson,7,Absent
Robert Smith,8,Present
Charles Taylor,9,Late
Sarah Jones,10,Present
James Williams,11,Present
Michael Brown,12,Present
Patricia Johnson,13,Present
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Present
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Absent
Kevin Johnson,28,Absent
David Smith,29,Excused
Melissa Taylor,30,Absent
