Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Absent
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Present
Mary Johnson,7,Absent
Robert Smith,8,Present
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Late
Michael Brown,12,Excused
Patricia Johnson,13,Late
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Excused
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Present
Edward Brown,22,Absent
Christopher Johnson,23,Present
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Excused
Kevin Johnson,28,Late
David Smith,29,Excused
Melissa Taylor,30,Present
