Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Excused
Michael Jones,3,Present
William Brown,4,Late
Susan Williams,5,Late
David Miller,6,Absent
Mary Johnson,7,Absent
Robert Smith,8,Excused
Charles Taylor,9,Excused
Sarah Jones,10,Absent
James Williams,11,Late
Michael Brown,12,Absent
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Excused
Daniel Williams,16,Present
Joseph Brown,17,Present
Linda Johnson,18,Present
Anthony Smith,19,Absent
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Present
Jennifer Taylor,25,Late
Andrew Williams,26,Excused
Brian Brown,27,Excused
Kevin Johnson,28,Late
David Smith,29,Excused
Melissa Taylor,30,Present
