Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Absent
Michael Jones,3,Absent
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Absent
Robert Smith,8,Excused
Charles Taylor,9,Late
Sarah Jones,10,Absent
James Williams,11,Late
Michael Brown,12,Present
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Late
Joseph Brown,17,Excused
Linda Johnson,18,Present
Anthony Smith,19,Excused
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Excused
Christopher Johnson,23,Present
Matthew Smith,24,Excused
Jennifer Taylor,25,Late
Andrew Williams,26,Late
Brian Brown,27,Late
Kevin Johnson,28,Absent
David Smith,29,Absent
Melissa Taylor,30,Excused
