Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Excused
Michael Jones,3,Late
William Brown,4,Present
Susan Williams,5,Present
David Miller,6,Present
Mary Johnson,7,Present
Robert Smith,8,Excused
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Late
Elizabeth Taylor,15,Present
Daniel Williams,16,Present
Joseph Brown,17,Absent
Linda Johnson,18,Present
Anthony Smith,19,Absent
Barbara Taylor,20,Absent
Steven Williams,21,Absent
Edward Brown,22,Late
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Present
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Excused
