Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Present
Michael Jones,3,Present
William Brown,4,Excused
Susan Williams,5,Absent
David Miller,6,Late
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Present
James Williams,11,Late
Michael Brown,12,Absent
Patricia Johnson,13,Late
William Smith,14,Absent
Elizabeth Taylor,15,Absent
Daniel Williams,16,Present
Joseph Brown,17,Excused
Linda Johnson,18,Late
Anthony Smith,19,Present
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Absent
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Excused
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Late
