Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Late
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Present
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Present
Charles Taylor,9,Present
Sarah Jones,10,Late
James Williams,11,Present
Michael Brown,12,Present
Patricia Johnson,13,Absent
William Smith,14,Excused
Elizabeth Taylor,15,Present
Daniel Williams,16,Late
Joseph Brown,17,Present
Linda Johnson,18,Late
Anthony Smith,19,Excused
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Excused
Kevin Johnson,28,Absent
David Smith,29,Present
Melissa Taylor,30,Absent
