Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Absent
Michael Jones,3,Excused
William Brown,4,Excused
Susan Williams,5,Late
David Miller,6,Late
Mary Johnson,7,Excused
Robert Smith,8,Present
Charles Taylor,9,Excused
Sarah Jones,10,Present
James Williams,11,Absent
Michael Brown,12,Present
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Absent
Daniel Williams,16,Present
Joseph Brown,17,Late
Linda Johnson,18,Excused
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Late
Edward Brown,22,Present
Christopher Johnson,23,Late
Matthew Smith,24,Absent
Jennifer Taylor,25,Excused
Andrew Williams,26,Present
Brian Brown,27,Present
Kevin Johnson,28,Absent
David Smith,29,Absent
Melissa Taylor,30,Present
