Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Present
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Absent
James Williams,11,Late
Michael Brown,12,Present
Patricia Johnson,13,Excused
William Smith,14,Late
Elizabeth Taylor,15,Late
Daniel Williams,16,Absent
Joseph Brown,17,Excused
Linda Johnson,18,Absent
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Excused
Edward Brown,22,Late
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Excused
Brian Brown,27,Late
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Late
