Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Excused
Susan Williams,5,Present
David Miller,6,Late
Mary Johnson,7,Absent
Robert Smith,8,Absent
Charles Taylor,9,Late
Sarah Jones,10,Present
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Present
Daniel Williams,16,Late
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Excused
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Late
Matthew Smith,24,Absent
Jennifer Taylor,25,Present
Andrew Williams,26,Present
Brian Brown,27,Absent
Kevin Johnson,28,Absent
David Smith,29,Present
Melissa Taylor,30,Late
