Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Excused
William Brown,4,Excused
Susan Williams,5,Present
David Miller,6,Absent
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Absent
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Late
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Present
Matthew Smith,24,Late
Jennifer Taylor,25,Late
Andrew Williams,26,Present
Brian Brown,27,Excused
Kevin Johnson,28,Excused
David Smith,29,Late
Melissa Taylor,30,Absent
