Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Present
Michael Jones,3,Absent
William Brown,4,Absent
Susan Williams,5,Late
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Present
Sarah Jones,10,Present
James Williams,11,Absent
Michael Brown,12,Absent
Patricia Johnson,13,Absent
William Smith,14,Present
Elizabeth Taylor,15,Late
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Present
Anthony Smith,19,Excused
Barbara Taylor,20,Excused
Steven Williams,21,Excused
Edward Brown,22,Late
Christopher Johnson,23,Present
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Absent
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Absent
