Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Present
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Present
David Miller,6,Late
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Late
Sarah Jones,10,Absent
James Williams,11,Absent
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Absent
Elizabeth Taylor,15,Late
Daniel Williams,16,Absent
Joseph Brown,17,Absent
Linda Johnson,18,Present
Anthony Smith,19,Late
Barbara Taylor,20,Absent
Steven Williams,21,Late
Edward Brown,22,Absent
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Excused
Kevin Johnson,28,Present
David Smith,29,Excused
Melissa Taylor,30,Excused
