Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Absent
William Brown,4,Absent
Susan Williams,5,Present
David Miller,6,Late
Mary Johnson,7,Late
Robert Smith,8,Present
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Late
Michael Brown,12,Excused
Patricia Johnson,13,Absent
William Smith,14,Excused
Elizabeth Taylor,15,Present
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Present
Anthony Smith,19,Late
Barbara Taylor,20,Absent
Steven Williams,21,Late
Edward Brown,22,Present
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Late
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Late
