Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Present
Mary Johnson,7,Late
Robert Smith,8,Present
Charles Taylor,9,Present
Sarah Jones,10,Present
James Williams,11,Absent
Michael Brown,12,Excused
Patricia Johnson,13,Absent
William Smith,14,Excused
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Absent
Anthony Smith,19,Late
Barbara Taylor,20,Late
Steven Williams,21,Absent
Edward Brown,22,Late
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Late
Andrew Williams,26,Late
Brian Brown,27,Absent
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Late
