Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Present
Michael Jones,3,Excused
William Brown,4,Present
Susan Williams,5,Excused
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Late
James Williams,11,Excused
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Present
Anthony Smith,19,Late
Barbara Taylor,20,Absent
Steven Williams,21,Present
Edward Brown,22,Absent
Christopher Johnson,23,Absent
Matthew Smith,24,Present
Jennifer Taylor,25,Late
Andrew Williams,26,Present
Brian Brown,27,Excused
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Excused
