Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Late
Michael Jones,3,Absent
William Brown,4,Absent
Susan Williams,5,Late
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Late
James Williams,11,Excused
Michael Brown,12,Excused
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Present
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Late
Anthony Smith,19,Absent
Barbara Taylor,20,Late
Steven Williams,21,Excused
Edward Brown,22,Late
Christopher Johnson,23,Present
Matthew Smith,24,Present
Jennifer Taylor,25,Excused
Andrew Williams,26,Late
Brian Brown,27,Present
Kevin Johnson,28,Present
David Smith,29,Excused
Melissa Taylor,30,Present
