Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Late
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Present
Patricia Johnson,13,Absent
William Smith,14,Excused
Elizabeth Taylor,15,Present
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Excused
Anthony Smith,19,Late
Barbara Taylor,20,Absent
Steven Williams,21,Late
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Excused
Jennifer Taylor,25,Absent
Andrew Williams,26,Excused
Brian Brown,27,Absent
Kevin Johnson,28,Absent
David Smith,29,Absent
Melissa Taylor,30,Present
