Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Present
Michael Jones,3,Absent
William Brown,4,Late
Susan Williams,5,Absent
David Miller,6,Late
Mary Johnson,7,Absent
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Present
James Williams,11,Absent
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Present
Elizabeth Taylor,15,Present
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Late
Barbara Taylor,20,Excused
Steven Williams,21,Excused
Edward Brown,22,Present
Christopher Johnson,23,Late
Matthew Smith,24,Late
Jennifer Taylor,25,Present
Andrew Williams,26,Present
Brian Brown,27,Present
Kevin Johnson,28,Present
David Smith,29,Excused
Melissa Taylor,30,Present
