Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Absent
Michael Jones,3,Excused
William Brown,4,Present
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Absent
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Absent
James Williams,11,Excused
Michael Brown,12,Absent
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Excused
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Late
Steven Williams,21,Present
Edward Brown,22,Excused
Christopher Johnson,23,Late
Matthew Smith,24,Late
Jennifer Taylor,25,Excused
Andrew Williams,26,Absent
Brian Brown,27,Excused
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Present
