Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Absent
William Brown,4,Late
Susan Williams,5,Late
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Present
Elizabeth Taylor,15,Late
Daniel Williams,16,Present
Joseph Brown,17,Present
Linda Johnson,18,Present
Anthony Smith,19,Excused
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Absent
Christopher Johnson,23,Present
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Excused
