Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Excused
William Brown,4,Absent
Susan Williams,5,Excused
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Absent
James Williams,11,Present
Michael Brown,12,Excused
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Present
Barbara Taylor,20,Late
Steven Williams,21,Late
Edward Brown,22,Present
Christopher Johnson,23,Excused
Matthew Smith,24,Absent
Jennifer Taylor,25,Excused
Andrew Williams,26,Late
Brian Brown,27,Late
Kevin Johnson,28,Excused
David Smith,29,Present
Melissa Taylor,30,Excused
