Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Excused
William Brown,4,Late
Susan Williams,5,Excused
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Late
James Williams,11,Excused
Michael Brown,12,Excused
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Absent
Linda Johnson,18,Excused
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Excused
Edward Brown,22,Late
Christopher Johnson,23,Excused
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Present
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Late
