Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Present
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Present
David Miller,6,Absent
Mary Johnson,7,Excused
Robert Smith,8,Present
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Absent
Patricia Johnson,13,Excused
William Smith,14,Late
Elizabeth Taylor,15,Absent
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Absent
Anthony Smith,19,Absent
Barbara Taylor,20,Present
Steven Williams,21,Present
Edward Brown,22,Absent
Christopher Johnson,23,Late
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Absent
Kevin Johnson,28,Late
David Smith,29,Late
Melissa Taylor,30,Absent
