Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Excused
William Brown,4,Present
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Late
Sarah Jones,10,Absent
James Williams,11,Absent
Michael Brown,12,Excused
Patricia Johnson,13,Late
William Smith,14,Excused
Elizabeth Taylor,15,Present
Daniel Williams,16,Present
Joseph Brown,17,Excused
Linda Johnson,18,Present
Anthony Smith,19,Excused
Barbara Taylor,20,Late
Steven Williams,21,Excused
Edward Brown,22,Absent
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Present
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Absent
Melissa Taylor,30,Present
