Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Excused
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Present
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Present
Patricia Johnson,13,Present
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Excused
Joseph Brown,17,Late
Linda Johnson,18,Present
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Excused
Edward Brown,22,Absent
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Present
David Smith,29,Excused
Melissa Taylor,30,Excused
