Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Excused
Michael Jones,3,Late
William Brown,4,Absent
Susan Williams,5,Late
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Present
Charles Taylor,9,Late
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Late
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Late
Daniel Williams,16,Present
Joseph Brown,17,Excused
Linda Johnson,18,Excused
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Present
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Present
Jennifer Taylor,25,Excused
Andrew Williams,26,Excused
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Excused
Melissa Taylor,30,Absent
