Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Absent
Michael Jones,3,Late
William Brown,4,Absent
Susan Williams,5,Present
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Late
James Williams,11,Present
Michael Brown,12,Present
Patricia Johnson,13,Late
William Smith,14,Excused
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Late
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Excused
Christopher Johnson,23,Late
Matthew Smith,24,Excused
Jennifer Taylor,25,Excused
Andrew Williams,26,Absent
Brian Brown,27,Late
Kevin Johnson,28,Present
David Smith,29,Late
Melissa Taylor,30,Absent
