Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Excused
David Miller,6,Present
Mary Johnson,7,Late
Robert Smith,8,Excused
Charles Taylor,9,Excused
Sarah Jones,10,Late
James Williams,11,Absent
Michael Brown,12,Present
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Excused
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Present
Anthony Smith,19,Absent
Barbara Taylor,20,Present
Steven Williams,21,Absent
Edward Brown,22,Excused
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Excused
Melissa Taylor,30,Absent
