Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Late
Michael Jones,3,Absent
William Brown,4,Present
Susan Williams,5,Absent
David Miller,6,Excused
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Absent
Sarah Jones,10,Late
James Williams,11,Excused
Michael Brown,12,Absent
Patricia Johnson,13,Absent
William Smith,14,Present
Elizabeth Taylor,15,Present
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Present
Steven Williams,21,Excused
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Late
Andrew Williams,26,Late
Brian Brown,27,Present
Kevin Johnson,28,Absent
David Smith,29,Excused
Melissa Taylor,30,Excused
