Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Excused
Michael Jones,3,Late
William Brown,4,Absent
Susan Williams,5,Excused
David Miller,6,Present
Mary Johnson,7,Excused
Robert Smith,8,Excused
Charles Taylor,9,Present
Sarah Jones,10,Late
James Williams,11,Absent
Michael Brown,12,Present
Patricia Johnson,13,Excused
William Smith,14,Present
Elizabeth Taylor,15,Excused
Daniel Williams,16,Excused
Joseph Brown,17,Excused
Linda Johnson,18,Absent
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Present
Edward Brown,22,Absent
Christopher Johnson,23,Present
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Present
Kevin Johnson,28,Late
David Smith,29,Excused
Melissa Taylor,30,Excused
