Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Excused
Michael Jones,3,Present
William Brown,4,Present
Susan Williams,5,Absent
David Miller,6,Absent
Mary Johnson,7,Absent
Robert Smith,8,Late
Charles Taylor,9,Absent
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Excused
Patricia Johnson,13,Excused
William Smith,14,Late
Elizabeth Taylor,15,Late
Daniel Williams,16,Excused
Joseph Brown,17,Absent
Linda Johnson,18,Excused
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Absent
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Present
Jennifer Taylor,25,Excused
Andrew Williams,26,Absent
Brian Brown,27,Late
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Present
