Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Present
David Miller,6,Excused
Mary Johnson,7,Excused
Robert Smith,8,Absent
Charles Taylor,9,Excused
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Excused
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Late
Daniel Williams,16,Absent
Joseph Brown,17,Present
Linda Johnson,18,Excused
Anthony Smith,19,Excused
Barbara Taylor,20,Absent
Steven Williams,21,Present
Edward Brown,22,Excused
Christopher Johnson,23,Excused
Matthew Smith,24,Present
Jennifer Taylor,25,Present
Andrew Williams,26,Excused
Brian Brown,27,Present
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Excused
