Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Excused
Susan Williams,5,Absent
David Miller,6,Excused
Mary Johnson,7,Excused
Robert Smith,8,Excused
Charles Taylor,9,Late
Sarah Jones,10,Excused
James Williams,11,Late
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Excused
Daniel Williams,16,Late
Joseph Brown,17,Absent
Linda Johnson,18,Absent
Anthony Smith,19,Absent
Barbara Taylor,20,Late
Steven Williams,21,Late
Edward Brown,22,Excused
Christopher Johnson,23,Late
Matthew Smith,24,Present
Jennifer Taylor,25,Excused
Andrew Williams,26,Present
Brian Brown,27,Excused
Kevin Johnson,28,Excused
David Smith,29,Absent
Melissa Taylor,30,Present
