Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Present
Michael Jones,3,Late
William Brown,4,Present
Susan Williams,5,Present
David Miller,6,Absent
Mary Johnson,7,Present
Robert Smith,8,Absent
Charles Taylor,9,Late
Sarah Jones,10,Late
James Williams,11,Present
Michael Brown,12,Absent
Patricia Johnson,13,Late
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Absent
Joseph Brown,17,Absent
Linda Johnson,18,Late
Anthony Smith,19,Present
Barbara Taylor,20,Excused
Steven Williams,21,Excused
Edward Brown,22,Present
Christopher Johnson,23,Absent
Matthew Smith,24,Excused
Jennifer Taylor,25,Late
Andrew Williams,26,Excused
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Excused
Melissa Taylor,30,Absent
