Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Absent
Michael Jones,3,Excused
William Brown,4,Late
Susan Williams,5,Present
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Excused
Charles Taylor,9,Excused
Sarah Jones,10,Present
James Williams,11,Present
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Excused
Joseph Brown,17,Present
Linda Johnson,18,Late
Anthony Smith,19,Present
Barbara Taylor,20,Absent
Steven Williams,21,Excused
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Late
Jennifer Taylor,25,Late
Andrew Williams,26,Excused
Brian Brown,27,Absent
Kevin Johnson,28,Absent
David Smith,29,Late
Melissa Taylor,30,Excused
