Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Present
Susan Williams,5,Absent
David Miller,6,Excused
Mary Johnson,7,Present
Robert Smith,8,Excused
Charles Taylor,9,Absent
Sarah Jones,10,Late
James Williams,11,Absent
Michael Brown,12,Absent
Patricia Johnson,13,Present
William Smith,14,Absent
Elizabeth Taylor,15,Excused
Daniel Williams,16,Absent
Joseph Brown,17,Late
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Present
Steven Williams,21,Late
Edward Brown,22,Present
Christopher Johnson,23,Excused
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Present
Brian Brown,27,Late
Kevin Johnson,28,Absent
David Smith,29,Excused
Melissa Taylor,30,Excused
