Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Present
Susan Williams,5,Late
David Miller,6,Absent
Mary Johnson,7,Absent
Robert Smith,8,Present
Charles Taylor,9,Absent
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Present
Patricia Johnson,13,Excused
William Smith,14,Present
Elizabeth Taylor,15,Absent
Daniel Williams,16,Present
Joseph Brown,17,Absent
Linda Johnson,18,Excused
Anthony Smith,19,Late
Barbara Taylor,20,Excused
Steven Williams,21,Absent
Edward Brown,22,Absent
Christopher Johnson,23,Absent
Matthew Smith,24,Excused
Jennifer Taylor,25,Excused
Andrew Williams,26,Absent
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Present
Melissa Taylor,30,Absent
