Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Late
Michael Jones,3,Late
William Brown,4,Excused
Susan Williams,5,Excused
David Miller,6,Present
Mary Johnson,7,Present
Robert Smith,8,Late
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Present
Michael Brown,12,Present
Patricia Johnson,13,Present
William Smith,14,Late
Elizabeth Taylor,15,Present
Daniel Williams,16,Late
Joseph Brown,17,Late
Linda Johnson,18,Absent
Anthony Smith,19,Excused
Barbara Taylor,20,Excused
Steven Williams,21,Late
Edward Brown,22,Absent
Christopher Johnson,23,Excused
Matthew Smith,24,Present
Jennifer Taylor,25,Absent
Andrew Williams,26,Absent
Brian Brown,27,Absent
Kevin Johnson,28,Excused
David Smith,29,Excused
Melissa Taylor,30,Late
