Student_name,Student_id,Attendance_Status
John Doe,1,Present
Jane Smith,2,Excused
Michael Jones,3,Excused
William Brown,4,Present
Susan Williams,5,Absent
David Miller,6,Excused
Mary Johnson,7,Late
Robert Smith,8,Present
Charles Taylor,9,Absent
Sarah Jones,10,Absent
James Williams,11,Late
Michael Brown,12,Late
Patricia Johnson,13,Late
William Smith,14,Late
Elizabeth Taylor,15,Excused
Daniel Williams,16,Late
Joseph Brown,17,Absent
Linda Johnson,18,Present
Anthony Smith,19,Absent
Barbara Taylor,20,Present
Steven Williams,21,Late
Edward Brown,22,Present
Christopher Johnson,23,Absent
Matthew Smith,24,Present
Jennifer Taylor,25,Late
Andrew Williams,26,Late
Brian Brown,27,Present
Kevin Johnson,28,Absent
David Smith,29,Absent
Melissa Taylor,30,Late
