Student_name,Student_id,Attendance_Status
John Doe,1,Late
Jane Smith,2,Late
Michael Jones,3,Present
William Brown,4,Absent
Susan Williams,5,Excused
David Miller,6,Late
Mary Johnson,7,Excused
Robert Smith,8,Excused
Charles Taylor,9,Present
Sarah Jones,10,Excused
James Williams,11,Absent
Michael Brown,12,Present
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Late
Joseph Brown,17,Absent
Linda Johnson,18,Late
Anthony Smith,19,Late
Barbara Taylor,20,Excused
Steven Williams,21,Present
Edward Brown,22,Excused
Christopher Johnson,23,Absent
Matthew Smith,24,Absent
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Late
Kevin Johnson,28,Absent
David Smith,29,Present
Melissa Taylor,30,Excused
