Student_name,Student_id,Attendance_Status
John Doe,1,Excused
Jane Smith,2,Present
Michael Jones,3,Late
William Brown,4,Excused
Susan Williams,5,Late
David Miller,6,Excused
Mary Johnson,7,Excused
Robert Smith,8,Late
Charles Taylor,9,Late
Sarah Jones,10,Present
James Williams,11,Excused
Michael Brown,12,Late
Patricia Johnson,13,Absent
William Smith,14,Absent
Elizabeth Taylor,15,Present
Daniel Williams,16,Present
Joseph Brown,17,Excused
Linda Johnson,18,Present
Anthony Smith,19,Late
Barbara Taylor,20,Present
Steven Williams,21,Late
Edward Brown,22,Late
Christopher Johnson,23,Late
Matthew Smith,24,Absent
Jennifer Taylor,25,Present
Andrew Williams,26,Late
Brian Brown,27,Absent
Kevin Johnson,28,Late
David Smith,29,Present
Melissa Taylor,30,Late
