Student_name,Student_id,Attendance_Status
John Doe,1,Absent
Jane Smith,2,Present
Michael Jones,3,Late
William Brown,4,Late
Susan Williams,5,Late
David Miller,6,Late
Mary Johnson,7,Absent
Robert Smith,8,Late
Charles Taylor,9,Late
Sarah Jones,10,Excused
James Williams,11,Excused
Michael Brown,12,Late
Patricia Johnson,13,Present
William Smith,14,Excused
Elizabeth Taylor,15,Excused
Daniel Williams,16,Present
Joseph Brown,17,Present
Linda Johnson,18,Late
Anthony Smith,19,Present
Barbara Taylor,20,Excused
Steven Williams,21,Late
Edward Brown,22,Excused
Christopher Johnson,23,Present
Matthew Smith,24,Late
Jennifer Taylor,25,Absent
Andrew Williams,26,Late
Brian Brown,27,Present
Kevin Johnson,28,Present
David Smith,29,Present
Melissa Taylor,30,Excused
